"activity_frame.subject_id" "activity_frame.activity" "mean_mean" "std_mean"
"76" 21 "WALKING" -0.290397733932104 1.01197756956896
"77" 21 "WALKING_DOWNSTAIRS" -0.247638380733286 1.02443028305468
"78" 21 "WALKING_UPSTAIRS" -0.339757531821394 1.02240032519363
"79" 22 "LAYING" -0.58013000836966 1.12751246786197
"80" 22 "SITTING" -0.585582152180725 1.108871096668
"81" 22 "STANDING" -0.585775426300499 1.11609563409537
"82" 22 "WALKING" -0.232374340625667 1.04637329393195
"83" 22 "WALKING_DOWNSTAIRS" -0.242237963946939 1.06227854044357
"84" 22 "WALKING_UPSTAIRS" -0.261472606722201 1.05449626947848
"85" 23 "LAYING" -0.574348480790335 1.17127438395991
"86" 23 "SITTING" -0.582638057342075 1.15042895777456
"87" 23 "STANDING" -0.585027635350905 1.15286180318903
"88" 23 "WALKING" -0.221725504908586 1.08573672092239
"89" 23 "WALKING_DOWNSTAIRS" -0.1555651303695 1.08755979793196
"90" 23 "WALKING_UPSTAIRS" -0.323863439363893 1.09416423791488
"91" 25 "LAYING" -0.532350369194096 1.23931278742412
"92" 25 "SITTING" -0.591505309608633 1.22072144394495
"93" 25 "STANDING" -0.589719627657804 1.22565917929847
"94" 25 "WALKING" -0.413023855351601 1.17780560067212
"95" 25 "WALKING_DOWNSTAIRS" -0.378663577811685 1.18282225922804
"96" 25 "WALKING_UPSTAIRS" -0.435830129399563 1.18597601490889
"97" 26 "LAYING" -0.581565572323671 1.27844988214649
"98" 26 "SITTING" -0.587149349031972 1.25976788072434
"99" 26 "STANDING" -0.586654619921442 1.26511254624419
"100" 26 "WALKING" -0.342658813268521 1.20663358637565
"101" 26 "WALKING_DOWNSTAIRS" -0.269817801559966 1.21129263816347
"102" 26 "WALKING_UPSTAIRS" -0.36047678675896 1.21602217491311
"103" 27 "LAYING" -0.585084256603606 1.31356786131446
"104" 27 "SITTING" -0.58996807402064 1.29593998955221
"105" 27 "STANDING" -0.585228836630976 1.30320126398722
"106" 27 "WALKING" -0.326695708072456 1.24627697474555
"107" 27 "WALKING_DOWNSTAIRS" -0.258050228798875 1.25228269245807
"108" 27 "WALKING_UPSTAIRS" -0.373243012756295 1.25786013520303
"109" 28 "LAYING" -0.577852569260915 1.34728617588227
"110" 28 "SITTING" -0.57822013743181 1.32936261272141
"111" 28 "STANDING" -0.567038467385205 1.33433363605475
"112" 28 "WALKING" -0.340878597137428 1.28590735525565
"113" 28 "WALKING_DOWNSTAIRS" -0.235552650039141 1.28593903865071
"114" 28 "WALKING_UPSTAIRS" -0.346382156111895 1.29076391988966
"115" 29 "LAYING" -0.581861733659928 1.39174277477029
"116" 29 "SITTING" -0.583198058052983 1.37451532538959
"117" 29 "STANDING" -0.587544585160247 1.37975824383806
"118" 29 "WALKING" -0.298355352131587 1.32060532618644
"119" 29 "WALKING_DOWNSTAIRS" -0.259297381591968 1.32768449703713
"120" 29 "WALKING_UPSTAIRS" -0.308072980894835 1.33247399470181
"121" 30 "LAYING" -0.576399274427097 1.42263701659677
"122" 30 "SITTING" -0.583332225521263 1.41019164659579
"123" 30 "STANDING" -0.566228222602102 1.4139521335267
"124" 30 "WALKING" -0.317218154591687 1.36069383703026
"125" 30 "WALKING_DOWNSTAIRS" -0.298901476123713 1.36802503215336
"126" 30 "WALKING_UPSTAIRS" -0.38097154464562 1.37647398800148
